;Team;Result;For;Aga;Diff;HTf;HTa;Opposition;Ground;Match Date;TeamRk;OppRk
353;France;won;20;18;2;10;9;Wales;Stade de France;2017-03-18;;
354;Italy;lost;0;29;-29;0;15;Scotland;Murrayfield;2017-03-18;;
355;Ireland;won;13;9;4;10;3;England;Lansdowne Road;2017-03-18;;
356;Italy;lost;13;34;-21;3;15;Scotland;Singpore;2017-06-10;;
357;United States of America;lost;19;55;-36;7;29;Ireland;Harrison;2017-06-10;;
358;Argentina;lost;34;38;-4;17;13;England;San Juan;2017-06-10;;
359;France;lost;14;37;-23;7;16;South Africa;Pretoria;2017-06-10;;
360;Canada;lost;0;13;-13;0;3;Georgia;Calgary;2017-06-10;;
361;South Africa;won;37;14;23;16;7;France;Pretoria;2017-06-10;;
362;Australia;won;37;14;23;18;0;Fiji;Melbourne;2017-06-10;;
363;Ireland;won;55;19;36;29;7;United States of America;Harrison;2017-06-10;;
364;Georgia;won;13;0;13;3;0;Canada;Calgary;2017-06-10;;
365;Scotland;won;34;13;21;15;3;Italy;Singpore;2017-06-10;;
366;Russia;lost;29;32;-3;24;8;Uruguay;Montevideo;2017-06-14;;
367;Samoa;lost;0;78;-78;0;28;New Zealand;Auckland;2017-06-16;;
368;Wales;won;24;6;18;8;3;Tonga;Auckland;2017-06-16;;
369;Tonga;lost;6;24;-18;3;8;Wales;Auckland;2017-06-16;;
370;New Zealand;won;78;0;78;28;0;Samoa;Auckland;2017-06-16;;
371;United States of America;lost;17;21;-4;3;18;Georgia;Atlanta;2017-06-17;;
372;South Africa;won;37;15;22;23;7;France;Durban;2017-06-17;;
373;Scotland;won;24;19;5;17;12;Australia;Sydney;2017-06-17;;
374;Japan;lost;22;50;-28;3;31;Ireland;Shizuoka;2017-06-17;;
375;Georgia;won;21;17;4;18;3;United States of America;Atlanta;2017-06-17;;
376;Italy;lost;19;22;-3;9;14;Fiji;Suva;2017-06-17;;
377;Australia;lost;19;24;-5;12;17;Scotland;Sydney;2017-06-17;;
378;Argentina;lost;25;35;-10;13;18;England;Santa Fe;2017-06-17;;
379;France;lost;15;37;-22;7;23;South Africa;Durban;2017-06-17;;
380;Ireland;won;50;22;28;31;3;Japan;Shizuoka;2017-06-17;;
381;Russia;won;31;10;21;19;5;Namibia;Montevideo;2017-06-18;;
382;Namibia;lost;10;31;-21;5;19;Russia;Montevideo;2017-06-18;;
383;Wales;won;19;17;2;9;10;Samoa;Apia;2017-06-23;;
384;Samoa;lost;17;19;-2;10;9;Wales;Apia;2017-06-23;;
385;Scotland;lost;22;27;-5;7;11;Fiji;Suva;2017-06-24;;
386;South Africa;won;35;12;23;16;9;France;Johannesburg;2017-06-24;;
387;Georgia;lost;29;45;-16;8;26;Argentina;San Salvador de Juruy;2017-06-24;;
388;Japan;lost;13;35;-22;8;28;Ireland;Tokyo;2017-06-24;;
389;Canada;draw;28;28;0;15;21;United States of America;ONT;2017-06-24;;
390;Ireland;won;35;13;22;28;8;Japan;Tokyo;2017-06-24;;
391;Australia;won;40;27;13;21;13;Italy;Brisbane;2017-06-24;;
392;Argentina;won;45;29;16;26;8;Georgia;San Salvador de Juruy;2017-06-24;;
393;United States of America;draw;28;28;0;21;15;Canada;ONT;2017-06-24;;
394;France;lost;12;35;-23;9;16;South Africa;Johannesburg;2017-06-24;;
395;Italy;lost;27;40;-13;13;21;Australia;Brisbane;2017-06-24;;
396;Samoa;lost;26;30;-4;16;20;Tonga;Nuku A'lofa;2017-07-01;;
397;Tonga;won;30;26;4;20;16;Samoa;Nuku A'lofa;2017-07-01;;
398;United States of America;won;52;16;36;19;9;Canada;San Diego;2017-07-01;;
399;Canada;lost;16;52;-36;9;19;United States of America;San Diego;2017-07-01;;
400;Tonga;lost;10;14;-4;3;3;Fiji;Nuku A'lofa;2017-07-08;;
401;Samoa;lost;16;38;-22;16;14;Fiji;Apia;2017-07-15;;
402;Australia;lost;34;54;-20;6;40;New Zealand;Sydney;2017-08-19;;
403;Argentina;lost;15;37;-22;5;13;South Africa;Port Elizabeth;2017-08-19;;
404;South Africa;won;37;15;22;13;5;Argentina;Port Elizabeth;2017-08-19;;
405;New Zealand;won;54;34;20;40;6;Australia;Sydney;2017-08-19;;
406;New Zealand;won;35;29;6;14;17;Australia;Dunedin;2017-08-26;;
407;Australia;lost;29;35;-6;17;14;New Zealand;Dunedin;2017-08-26;;
408;Argentina;lost;23;41;-18;10;17;South Africa;Salta;2017-08-26;;
409;South Africa;won;41;23;18;17;10;Argentina;Salta;2017-08-26;;
410;South Africa;draw;23;23;0;10;13;Australia;Perth;2017-09-09;;
411;New Zealand;won;39;22;17;15;16;Argentina;New Plymouth;2017-09-09;;
412;Australia;draw;23;23;0;13;10;South Africa;Perth;2017-09-09;;
413;Argentina;lost;22;39;-17;16;15;New Zealand;New Plymouth;2017-09-09;;
414;New Zealand;won;57;0;57;31;0;South Africa;North Shore City;2017-09-16;;
415;Argentina;lost;20;45;-25;13;10;Australia;Canberra;2017-09-16;;
416;Australia;won;45;20;25;10;13;Argentina;Canberra;2017-09-16;;
417;South Africa;lost;0;57;-57;0;31;New Zealand;North Shore City;2017-09-16;;
418;South Africa;draw;27;27;0;10;13;Australia;Bloemfontein;2017-09-30;;
419;New Zealand;won;36;10;26;29;3;Argentina;Buenos Aires;2017-09-30;;
420;Australia;draw;27;27;0;13;10;South Africa;Bloemfontein;2017-09-30;;
421;Argentina;lost;10;36;-26;3;29;New Zealand;Buenos Aires;2017-09-30;;
422;Argentina;lost;20;37;-17;13;13;Australia;Mendoza;2017-10-07;;
423;South Africa;lost;24;25;-1;3;8;New Zealand;Cape Town;2017-10-07;;
424;New Zealand;won;25;24;1;8;3;South Africa;Cape Town;2017-10-07;;
425;Australia;won;37;20;17;13;13;Argentina;Mendoza;2017-10-07;;
426;Australia;won;23;18;5;12;13;New Zealand;Brisbane;2017-10-21;;
427;New Zealand;lost;18;23;-5;13;12;Australia;Brisbane;2017-10-21;;
428;Japan;lost;30;63;-33;3;35;Australia;Yokohama;2017-11-04;;
429;Australia;won;63;30;33;35;3;Japan;Yokohama;2017-11-04;;
430;Argentina;lost;8;21;-13;3;14;England;Twickenham;2017-11-11;;
431;Ireland;won;38;3;35;14;0;South Africa;Lansdowne Road;2017-11-11;;
432;Samoa;lost;38;44;-6;10;25;Scotland;Murrayfield;2017-11-11;;
433;Italy;won;19;10;9;10;10;Fiji;Catania;2017-11-11;;
434;Canada;lost;22;54;-32;8;23;Georgia;Tbilisi;2017-11-11;;
435;Georgia;won;54;22;32;23;8;Canada;Tbilisi;2017-11-11;;
436;France;lost;18;38;-20;5;31;New Zealand;Stade de France;2017-11-11;;
437;Wales;lost;21;29;-8;13;22;Australia;Millennium Stadium;2017-11-11;;
438;South Africa;lost;3;38;-35;0;14;Ireland;Lansdowne Road;2017-11-11;;
439;Scotland;won;44;38;6;25;10;Samoa;Murrayfield;2017-11-11;;
440;New Zealand;won;38;18;20;31;5;France;Stade de France;2017-11-11;;
441;Australia;won;29;21;8;22;13;Wales;Millennium Stadium;2017-11-11;;
442;Ireland;won;23;20;3;17;10;Fiji;Lansdowne Road;2017-11-18;;
443;South Africa;won;18;17;1;8;7;France;Stade de France;2017-11-18;;
444;Tonga;lost;6;39;-33;6;27;Japan;Toulouse;2017-11-18;;
445;Scotland;lost;17;22;-5;3;3;New Zealand;Murrayfield;2017-11-18;;
446;New Zealand;won;22;17;5;3;3;Scotland;Murrayfield;2017-11-18;;
447;Japan;won;39;6;33;27;6;Tonga;Toulouse;2017-11-18;;
448;France;lost;17;18;-1;7;8;South Africa;Stade de France;2017-11-18;;
449;Namibia;lost;36;52;-16;17;31;Uruguay;Windhoek;2017-11-18;;
450;Georgia;lost;6;13;-7;3;10;Wales;Millennium Stadium;2017-11-18;;
451;Argentina;won;31;15;16;8;9;Italy;Firenze;2017-11-18;;
452;Wales;won;13;6;7;10;3;Georgia;Millennium Stadium;2017-11-18;;
453;Australia;lost;6;30;-24;0;6;England;Twickenham;2017-11-18;;
454;Italy;lost;15;31;-16;9;8;Argentina;Firenze;2017-11-18;;
455;Japan;draw;23;23;0;8;13;France;Paris;2017-11-25;;
456;Canada;lost;17;57;-40;10;33;Fiji;Narbonne;2017-11-25;;
457;France;draw;23;23;0;13;8;Japan;Paris;2017-11-25;;
458;Namibia;lost;34;39;-5;17;17;Uruguay;Windhoek;2017-11-25;;
459;United States of America;lost;20;21;-1;12;21;Georgia;Tbilisi;2017-11-25;;
460;Wales;lost;18;33;-15;11;12;New Zealand;Millennium Stadium;2017-11-25;;
461;Scotland;won;53;24;29;17;12;Australia;Murrayfield;2017-11-25;;
462;Ireland;won;28;19;9;13;0;Argentina;Lansdowne Road;2017-11-25;;
463;South Africa;won;35;6;29;21;6;Italy;Padova;2017-11-25;;
464;Italy;lost;6;35;-29;6;21;South Africa;Padova;2017-11-25;;
465;Australia;lost;24;53;-29;12;17;Scotland;Murrayfield;2017-11-25;;
466;Georgia;won;21;20;1;21;12;United States of America;Tbilisi;2017-11-25;;
467;Argentina;lost;19;28;-9;0;13;Ireland;Lansdowne Road;2017-11-25;;
468;Samoa;lost;14;48;-34;7;22;England;Twickenham;2017-11-25;;
469;New Zealand;won;33;18;15;12;11;Wales;Millennium Stadium;2017-11-25;;
470;Wales;won;24;22;2;21;10;South Africa;Millennium Stadium;2017-12-02;;
471;South Africa;lost;22;24;-2;10;21;Wales;Millennium Stadium;2017-12-02;;
472;Canada;lost;29;38;-9;17;21;Uruguay;Vancouver;2018-01-27;;
473;Ireland;won;15;13;2;9;3;France;Stade de France;2018-02-02;;
474;France;lost;13;15;-2;3;9;Ireland;Stade de France;2018-02-03;;
475;Scotland;lost;7;34;-27;0;14;Wales;Millennium Stadium;2018-02-03;;
476;Wales;won;34;7;27;14;0;Scotland;Millennium Stadium;2018-02-03;;
477;Canada;lost;31;32;-1;18;10;Uruguay;Montevideo;2018-02-03;;
478;Italy;lost;15;46;-31;10;17;England;Rome;2018-02-04;;
479;Canada;lost;10;29;-19;7;14;United States of America;Sacramento;2018-02-10;;
480;Wales;lost;6;12;-6;3;12;England;Twickenham;2018-02-10;;
481;United States of America;won;29;10;19;14;7;Canada;Sacramento;2018-02-10;;
482;Italy;lost;19;56;-37;0;28;Ireland;Lansdowne Road;2018-02-10;;
483;Ireland;won;56;19;37;28;0;Italy;Lansdowne Road;2018-02-10;;
484;Scotland;won;32;26;6;14;20;France;Murrayfield;2018-02-11;;
485;France;lost;26;32;-6;20;14;Scotland;Murrayfield;2018-02-11;;
486;Italy;lost;17;34;-17;7;11;France;Marseille;2018-02-23;;
487;France;won;34;17;17;11;7;Italy;Marseille;2018-02-23;;
488;Scotland;won;25;13;12;22;6;England;Murrayfield;2018-02-24;;
489;Wales;lost;27;37;-10;13;15;Ireland;Lansdowne Road;2018-02-24;;
490;Ireland;won;37;27;10;15;13;Wales;Lansdowne Road;2018-02-24;;
491;United States of America;won;61;19;42;40;0;Uruguay;Montevideo;2018-03-03;;
492;Russia;lost;9;29;-20;9;7;Georgia;Krasnodar;2018-03-10;;
493;Scotland;lost;8;28;-20;3;14;Ireland;Lansdowne Road;2018-03-10;;
494;Ireland;won;28;8;20;14;3;Scotland;Lansdowne Road;2018-03-10;;
495;Georgia;won;29;9;20;7;9;Russia;Krasnodar;2018-03-10;;
496;France;won;22;16;6;9;9;England;Stade de France;2018-03-10;;
497;Wales;won;38;14;24;17;7;Italy;Millennium Stadium;2018-03-11;;
498;Italy;lost;14;38;-24;7;17;Wales;Millennium Stadium;2018-03-11;;
499;Ireland;won;24;15;9;21;5;England;Twickenham;2018-03-17;;
500;France;lost;13;14;-1;10;14;Wales;Millennium Stadium;2018-03-17;;
501;Italy;lost;27;29;-2;17;12;Scotland;Rome;2018-03-17;;
502;Scotland;won;29;27;2;12;17;Italy;Rome;2018-03-17;;
503;Wales;won;14;13;1;14;10;France;Millennium Stadium;2018-03-17;;
504;Wales;won;22;20;2;14;3;South Africa;Washington DC;2018-06-02;;
505;South Africa;lost;20;22;-2;3;14;Wales;Washington DC;2018-06-02;;
506;France;lost;11;52;-41;11;8;New Zealand;Auckland;2018-06-09;;
507;Italy;lost;17;34;-17;14;17;Japan;Oita;2018-06-09;;
508;United States of America;won;62;13;49;34;13;Russia;Commerce City;2018-06-09;;
509;Canada;lost;10;48;-38;3;15;Scotland;Edmonton;2018-06-09;;
510;Japan;won;34;17;17;17;14;Italy;Oita;2018-06-09;;
511;Scotland;won;48;10;38;15;3;Canada;Edmonton;2018-06-09;;
512;New Zealand;won;52;11;41;8;11;France;Auckland;2018-06-09;;
513;Australia;won;18;9;9;8;6;Ireland;Brisbane;2018-06-09;;
514;Ireland;lost;9;18;-9;6;8;Australia;Brisbane;2018-06-09;;
515;Wales;won;23;10;13;17;3;Argentina;San Juan;2018-06-09;;
516;Samoa;lost;22;24;-2;3;17;Fiji;Suva;2018-06-09;;
517;Tonga;lost;15;16;-1;3;13;Georgia;Suva;2018-06-09;;
518;Russia;lost;13;62;-49;13;34;United States of America;Commerce City;2018-06-09;;
519;Georgia;won;16;15;1;13;3;Tonga;Suva;2018-06-09;;
520;South Africa;won;42;39;3;29;27;England;Johannesburg;2018-06-09;;
521;Argentina;lost;10;23;-13;3;17;Wales;San Juan;2018-06-09;;
522;Wales;won;30;12;18;19;5;Argentina;Santa Fe;2018-06-16;;
523;Canada;lost;20;43;-23;10;26;Russia;Nepean;2018-06-16;;
524;Argentina;lost;12;30;-18;5;19;Wales;Santa Fe;2018-06-16;;
525;Japan;lost;22;25;-3;3;12;Italy;Kobe;2018-06-16;;
526;France;lost;13;26;-13;6;21;New Zealand;Wellington;2018-06-16;;
527;Russia;won;43;20;23;26;10;Canada;Nepean;2018-06-16;;
528;Samoa;lost;18;28;-10;6;17;Tonga;Suva;2018-06-16;;
529;United States of America;won;30;29;1;13;24;Scotland;Houston;2018-06-16;;
530;Italy;won;25;22;3;12;3;Japan;Kobe;2018-06-16;;
531;Ireland;won;26;21;5;16;14;Australia;Melbourne;2018-06-16;;
532;Australia;lost;21;26;-5;14;16;Ireland;Melbourne;2018-06-16;;
533;South Africa;won;23;12;11;13;12;England;Bloemfontein;2018-06-16;;
534;Georgia;lost;15;37;-22;15;10;Fiji;Suva;2018-06-16;;
535;New Zealand;won;26;13;13;21;6;France;Wellington;2018-06-16;;
536;Tonga;won;28;18;10;17;6;Samoa;Suva;2018-06-16;;
537;Scotland;lost;29;30;-1;24;13;United States of America;Houston;2018-06-16;;
538;Scotland;won;44;15;29;36;3;Argentina;Resistencia;2018-06-23;;
539;Ireland;won;20;16;4;12;9;Australia;Sydney;2018-06-23;;
540;New Zealand;won;49;14;35;21;14;France;Dunedin;2018-06-23;;
541;France;lost;14;49;-35;14;21;New Zealand;Dunedin;2018-06-23;;
542;Argentina;lost;15;44;-29;3;36;Scotland;Resistencia;2018-06-23;;
543;Japan;won;28;0;28;9;0;Georgia;Aichi;2018-06-23;;
544;Australia;lost;16;20;-4;9;12;Ireland;Sydney;2018-06-23;;
545;United States of America;won;42;17;25;13;3;Canada;NS;2018-06-23;;
546;Tonga;won;27;19;8;7;7;Fiji;Lautoka;2018-06-23;;
547;Canada;lost;17;42;-25;3;13;United States of America;NS;2018-06-23;;
548;Georgia;lost;0;28;-28;0;9;Japan;Aichi;2018-06-23;;
549;South Africa;lost;10;25;-15;3;6;England;Cape Town;2018-06-23;;
550;Argentina;lost;21;34;-13;14;10;South Africa;Durban;2018-08-18;;
551;South Africa;won;34;21;13;10;14;Argentina;Durban;2018-08-18;;
552;Australia;lost;13;38;-25;6;5;New Zealand;Sydney;2018-08-18;;
553;New Zealand;won;38;13;25;5;6;Australia;Sydney;2018-08-18;;
554;New Zealand;won;40;12;28;14;7;Australia;Auckland;2018-08-25;;
555;Argentina;won;32;19;13;27;7;South Africa;Mendoza;2018-08-25;;
556;South Africa;lost;19;32;-13;7;27;Argentina;Mendoza;2018-08-25;;
557;Australia;lost;12;40;-28;7;14;New Zealand;Auckland;2018-08-25;;
558;Australia;won;23;18;5;17;18;South Africa;Brisbane;2018-09-08;;
559;South Africa;lost;18;23;-5;18;17;Australia;Brisbane;2018-09-08;;
560;Argentina;lost;24;46;-22;7;18;New Zealand;Nelson;2018-09-08;;
561;New Zealand;won;46;24;22;18;7;Argentina;Nelson;2018-09-08;;
562;Australia;lost;19;23;-4;14;17;Argentina;Gold Coast;2018-09-15;;
563;New Zealand;lost;34;36;-2;17;24;South Africa;Wellington;2018-09-15;;
564;Argentina;won;23;19;4;17;14;Australia;Gold Coast;2018-09-15;;
565;South Africa;won;36;34;2;24;17;New Zealand;Wellington;2018-09-15;;
566;Australia;lost;12;23;-11;12;20;South Africa;Port Elizabeth;2018-09-29;;
567;South Africa;won;23;12;11;20;12;Australia;Port Elizabeth;2018-09-29;;
568;New Zealand;won;35;17;18;21;3;Argentina;Buenos Aires;2018-09-29;;
569;Argentina;lost;17;35;-18;3;21;New Zealand;Buenos Aires;2018-09-29;;
570;South Africa;lost;30;32;-2;30;6;New Zealand;Pretoria;2018-10-06;;
571;Argentina;lost;34;45;-11;31;7;Australia;Salta;2018-10-06;;
572;New Zealand;won;32;30;2;6;30;South Africa;Pretoria;2018-10-06;;
573;Australia;won;45;34;11;7;31;Argentina;Salta;2018-10-06;;
574;Australia;lost;20;37;-17;10;17;New Zealand;Yokohama;2018-10-27;;
575;New Zealand;won;37;20;17;17;10;Australia;Yokohama;2018-10-27;;
576;Ireland;won;54;7;47;14;7;Italy;Chicago;2018-11-03;;
577;Japan;lost;31;69;-38;19;38;New Zealand;Tokyo;2018-11-03;;
578;Wales;won;21;10;11;14;10;Scotland;Millennium Stadium;2018-11-03;;
579;Scotland;lost;10;21;-11;10;14;Wales;Millennium Stadium;2018-11-03;;
580;New Zealand;won;69;31;38;38;19;Japan;Tokyo;2018-11-03;;
581;South Africa;lost;11;12;-1;8;6;England;Twickenham;2018-11-03;;
582;Italy;lost;7;54;-47;7;14;Ireland;Chicago;2018-11-03;;
583;South Africa;won;29;26;3;9;16;France;Stade de France;2018-11-10;;
584;Australia;lost;6;9;-3;3;3;Wales;Millennium Stadium;2018-11-10;;
585;Georgia;lost;17;28;-11;7;18;Italy;Firenze;2018-11-10;;
586;New Zealand;won;16;15;1;10;15;England;Twickenham;2018-11-10;;
587;Russia;won;47;20;27;19;6;Namibia;Krasnodar;2018-11-10;;
588;Wales;won;9;6;3;3;3;Australia;Millennium Stadium;2018-11-10;;
589;Scotland;won;54;17;37;21;17;Fiji;Murrayfield;2018-11-10;;
590;Italy;won;28;17;11;18;7;Georgia;Firenze;2018-11-10;;
591;United States of America;won;30;29;1;20;21;Samoa;San Sebastian;2018-11-10;;
592;Namibia;lost;20;47;-27;6;19;Russia;Krasnodar;2018-11-10;;
593;Ireland;won;28;17;11;15;14;Argentina;Lansdowne Road;2018-11-10;;
594;Argentina;lost;17;28;-11;14;15;Ireland;Lansdowne Road;2018-11-10;;
595;Samoa;lost;29;30;-1;21;20;United States of America;San Sebastian;2018-11-10;;
596;France;lost;26;29;-3;16;9;South Africa;Stade de France;2018-11-10;;
597;Wales;won;74;24;50;24;17;Tonga;Millennium Stadium;2018-11-17;;
598;New Zealand;lost;9;16;-7;6;9;Ireland;Lansdowne Road;2018-11-17;;
599;Italy;lost;7;26;-19;0;14;Australia;Padova;2018-11-17;;
600;Japan;lost;15;35;-20;15;10;England;Twickenham;2018-11-17;;
601;Argentina;lost;13;28;-15;10;11;France;Lille;2018-11-17;;
602;Tonga;lost;24;74;-50;17;24;Wales;Millennium Stadium;2018-11-17;;
603;Australia;won;26;7;19;14;0;Italy;Padova;2018-11-17;;
604;France;won;28;13;15;11;10;Argentina;Lille;2018-11-17;;
605;Scotland;lost;20;26;-6;17;20;South Africa;Murrayfield;2018-11-17;;
606;Georgia;won;27;19;8;10;19;Samoa;Tbilisi;2018-11-17;;
607;Samoa;lost;19;27;-8;19;10;Georgia;Tbilisi;2018-11-17;;
608;South Africa;won;26;20;6;20;17;Scotland;Murrayfield;2018-11-17;;
609;Ireland;won;16;9;7;9;6;New Zealand;Lansdowne Road;2018-11-17;;
610;Argentina;lost;9;14;-5;3;6;Scotland;Murrayfield;2018-11-24;;
611;Japan;won;32;27;5;10;22;Russia;Gloucester;2018-11-24;;
612;United States of America;lost;14;57;-43;14;24;Ireland;Lansdowne Road;2018-11-24;;
613;Italy;lost;3;66;-63;3;31;New Zealand;Rome;2018-11-24;;
614;Scotland;won;14;9;5;6;3;Argentina;Murrayfield;2018-11-24;;
615;Georgia;won;20;9;11;7;6;Tonga;Tbilisi;2018-11-24;;
616;New Zealand;won;66;3;63;31;3;Italy;Rome;2018-11-24;;
617;Tonga;lost;9;20;-11;6;7;Georgia;Tbilisi;2018-11-24;;
618;South Africa;lost;11;20;-9;3;14;Wales;Millennium Stadium;2018-11-24;;
619;Wales;won;20;11;9;14;3;South Africa;Millennium Stadium;2018-11-24;;
620;France;lost;14;21;-7;14;12;Fiji;Stade de France;2018-11-24;;
621;Ireland;won;57;14;43;24;14;United States of America;Lansdowne Road;2018-11-24;;
622;Russia;lost;27;32;-5;22;10;Japan;Gloucester;2018-11-24;;
623;Australia;lost;18;37;-19;13;13;England;Twickenham;2018-11-24;;
624;France;lost;19;24;-5;16;0;Wales;Stade de France;2019-02-01;;
625;Wales;won;24;19;5;0;16;France;Stade de France;2019-02-01;;
626;Italy;lost;20;33;-13;3;12;Scotland;Murrayfield;2019-02-02;;
627;Canada;lost;17;20;-3;5;8;Uruguay;Montevideo;2019-02-02;;
628;Ireland;lost;20;32;-12;10;17;England;Lansdowne Road;2019-02-02;;
629;Scotland;won;33;20;13;12;3;Italy;Murrayfield;2019-02-02;;
630;Scotland;lost;13;22;-9;10;12;Ireland;Murrayfield;2019-02-09;;
631;Ireland;won;22;13;9;12;10;Scotland;Murrayfield;2019-02-09;;
632;Italy;lost;15;26;-11;7;12;Wales;Rome;2019-02-09;;
633;Wales;won;26;15;11;12;7;Italy;Rome;2019-02-09;;
634;France;lost;8;44;-36;8;30;England;Twickenham;2019-02-10;;
635;France;won;27;10;17;10;3;Scotland;Stade de France;2019-02-23;;
636;Wales;won;21;13;8;3;10;England;Millennium Stadium;2019-02-23;;
637;Scotland;lost;10;27;-17;3;10;France;Stade de France;2019-02-23;;
638;Italy;lost;16;26;-10;16;12;Ireland;Rome;2019-02-24;;
639;Ireland;won;26;16;10;12;16;Italy;Rome;2019-02-24;;
640;United States of America;lost;25;32;-7;13;19;Uruguay;Seattle;2019-03-02;;
641;United States of America;won;30;25;5;15;12;Canada;Seattle;2019-03-08;;
642;Canada;lost;25;30;-5;12;15;United States of America;Seattle;2019-03-08;;
643;Wales;won;18;11;7;15;6;Scotland;Murrayfield;2019-03-09;;
644;Scotland;lost;11;18;-7;6;15;Wales;Murrayfield;2019-03-09;;
645;Italy;lost;14;57;-43;7;31;England;Twickenham;2019-03-09;;
646;France;lost;14;26;-12;0;19;Ireland;Lansdowne Road;2019-03-10;;
647;Ireland;won;26;14;12;19;0;France;Lansdowne Road;2019-03-10;;
648;France;won;25;14;11;10;6;Italy;Rome;2019-03-16;;
649;Scotland;draw;38;38;0;7;31;England;Twickenham;2019-03-16;;
650;Italy;lost;14;25;-11;6;10;France;Rome;2019-03-16;;
651;Ireland;lost;7;25;-18;0;16;Wales;Millennium Stadium;2019-03-16;;
652;Wales;won;25;7;18;16;0;Ireland;Millennium Stadium;2019-03-16;;
653;Russia;lost;6;22;-16;3;10;Georgia;Krasnodar;2019-03-17;;
654;Georgia;won;22;6;16;10;3;Russia;Krasnodar;2019-03-17;;
655;Russia;lost;26;48;-22;12;29;Uruguay;Montevideo;2019-06-04;;
656;Namibia;won;30;28;2;17;7;Uruguay;Montevideo;2019-06-09;;
657;Namibia;lost;0;20;-20;0;13;Russia;Montevideo;2019-06-15;;
658;Russia;won;20;0;20;13;0;Namibia;Montevideo;2019-06-15;;
659;South Africa;won;35;17;18;14;10;Australia;Johannesburg;2019-07-20;;
660;Argentina;lost;16;20;-4;9;20;New Zealand;Buenos Aires;2019-07-20;;
661;New Zealand;won;20;16;4;20;9;Argentina;Buenos Aires;2019-07-20;;
662;Australia;lost;17;35;-18;10;14;South Africa;Johannesburg;2019-07-20;;
663;New Zealand;draw;16;16;0;7;6;South Africa;Wellington;2019-07-27;;
664;Canada;lost;19;47;-28;0;20;United States of America;Glendale;2019-07-27;;
665;Australia;won;16;10;6;10;3;Argentina;Brisbane;2019-07-27;;
666;Argentina;lost;10;16;-6;3;10;Australia;Brisbane;2019-07-27;;
667;Japan;won;34;21;13;29;14;Fiji;Kamaishi;2019-07-27;;
668;Samoa;won;25;17;8;3;10;Tonga;Apia;2019-07-27;;
669;United States of America;won;47;19;28;20;0;Canada;Glendale;2019-07-27;;
670;Tonga;lost;17;25;-8;10;3;Samoa;Apia;2019-07-27;;
671;South Africa;draw;16;16;0;6;7;New Zealand;Wellington;2019-07-27;;
672;Tonga;lost;7;41;-34;0;21;Japan;Osaka;2019-08-03;;
673;Japan;won;41;7;34;21;0;Tonga;Osaka;2019-08-03;;
674;Samoa;lost;10;13;-3;7;10;United States of America;Suva;2019-08-03;;
675;United States of America;won;13;10;3;10;7;Samoa;Suva;2019-08-03;;
676;Canada;lost;13;38;-25;13;19;Fiji;Suva;2019-08-03;;
677;Tonga;won;33;23;10;19;8;Canada;Lautoka;2019-08-09;;
678;Canada;lost;23;33;-10;8;19;Tonga;Lautoka;2019-08-09;;
679;Japan;won;34;20;14;20;13;United States of America;Suva;2019-08-10;;
680;New Zealand;lost;26;47;-21;12;16;Australia;Perth;2019-08-10;;
681;Argentina;lost;13;46;-33;13;24;South Africa;Salta;2019-08-10;;
682;Samoa;lost;3;10;-7;3;3;Fiji;Suva;2019-08-10;;
683;Italy;lost;10;29;-19;10;19;Ireland;Lansdowne Road;2019-08-10;;
684;South Africa;won;46;13;33;24;13;Argentina;Salta;2019-08-10;;
685;Ireland;won;29;10;19;19;10;Italy;Lansdowne Road;2019-08-10;;
686;United States of America;lost;20;34;-14;13;20;Japan;Suva;2019-08-10;;
687;Australia;won;47;26;21;16;12;New Zealand;Perth;2019-08-10;;
688;Wales;lost;19;33;-14;7;21;England;Twickenham;2019-08-11;;
689;Australia;lost;0;36;-36;0;17;New Zealand;Auckland;2019-08-17;;
690;Russia;lost;15;85;-70;8;38;Italy;San Benedetto del Tronto;2019-08-17;;
691;Wales;won;13;6;7;10;0;England;Millennium Stadium;2019-08-17;;
692;France;won;32;3;29;20;3;Scotland;Nice;2019-08-17;;
693;Scotland;lost;3;32;-29;3;20;France;Nice;2019-08-17;;
694;Argentina;lost;18;24;-6;3;8;South Africa;Pretoria;2019-08-17;;
695;New Zealand;won;36;0;36;17;0;Australia;Auckland;2019-08-17;;
696;South Africa;won;24;18;6;8;3;Argentina;Pretoria;2019-08-17;;
697;Italy;won;85;15;70;38;8;Russia;San Benedetto del Tronto;2019-08-17;;
698;France;lost;14;17;-3;14;10;Scotland;Murrayfield;2019-08-24;;
699;Ireland;lost;15;57;-42;10;22;England;Twickenham;2019-08-24;;
700;Scotland;won;17;14;3;10;14;France;Murrayfield;2019-08-24;;
701;France;won;47;19;28;19;7;Italy;Stade de France;2019-08-30;;
702;Italy;lost;19;47;-28;7;19;France;Stade de France;2019-08-30;;
703;Wales;lost;17;22;-5;3;15;Ireland;Millennium Stadium;2019-08-31;;
704;Ireland;won;22;17;5;15;3;Wales;Millennium Stadium;2019-08-31;;
705;Georgia;lost;10;44;-34;3;23;Scotland;Tbilisi;2019-08-31;;
706;Scotland;won;44;10;34;23;3;Georgia;Tbilisi;2019-08-31;;
707;Tonga;lost;19;29;-10;12;17;Fiji;Auckland;2019-08-31;;
